R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
169,415,1881237669,2201695,65733152,27,7,12,8,14418,5489
169,445,1891675138,2544932,46313472,27,7,12,8,14418,5759
169,475,1928949428,2777610,51620344,27,7,13,9,14418,6231
170,265,1944983261,3377211,58371400,35,7,10,8,17119,3035
170,415,1933068458,1881469,63684448,27,7,12,8,14418,5040
170,445,1924809964,2204896,68990656,27,7,12,8,14418,5310
170,475,1931677379,2463067,49852896,27,7,13,9,14418,5782
199,235,1944270469,1982354,57399192,17,20,24,22,14998,3097
201,205,1912191245,508423,61645728,36,3,3,3,14319,1715
205,329,1945583574,1240565,49242864,23,18,18,18,19191,2503
235,416,1954311365,1783187,63084592,52,5,6,4,27364,4115
356,595,1982422378,4331655,47565000,80,9,11,4,23699,9229
383,413,1918123800,349609,52980712,36,32,3,31,8314,186
405,436,1917067863,2763208,61546064,84,9,8,9,19678,3337
445,502,1973963825,3141923,65159696,35,11,4,9,13621,3364
471,532,1992678805,1719084,47405824,10,33,13,32,5655,1658
476,533,1941092250,1666535,50052664,5,32,29,40,4371,2170
478,507,1931041345,856150,54902328,12,35,24,34,7236,810
508,568,1925219588,4537306,62833120,63,13,3,12,11365,1832
508,598,1950125841,6969946,47176360,54,20,17,20,11855,2883
529,558,2028795026,1559704,53785136,31,30,11,26,6152,961
530,591,2134094992,8383776,47265488,76,30,29,29,12612,2905
530,628,2068550782,7315772,51674280,15,27,43,38,9218,5673
531,564,2077642001,4821390,56084136,34,16,14,15,6761,2317
532,594,2138155750,6687042,65348496,35,32,24,32,8684,2253
533,590,2061993912,2292820,45744912,8,31,31,32,7736,2309
533,626,2069897248,7822179,54116744,26,32,18,44,8710,3728
534,559,2045558815,4453538,61604056,21,26,30,26,10529,3265
537,565,1954479446,1929307,66452440,11,34,29,34,5197,1651
556,560,2030323569,14134739,61040824,140,24,29,24,31330,7715
558,593,1978528083,7488829,65882240,37,27,38,29,11052,4530
